"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\index.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\.VSCodeCounter\2021-10-06_18-35-52\details.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 6, 16
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\.VSCodeCounter\2021-10-06_18-35-52\results.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 7, 21
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\ndd_post_types.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 2, 3, 54
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 11, 25
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\acf.php", "PHP", 336, 0, 0, 0, 0, 0, 0, 269, 63, 668
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.css", "CSS", 0, 260, 0, 0, 0, 0, 0, 28, 28, 316
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.css", "CSS", 0, 343, 0, 0, 0, 0, 0, 112, 26, 481
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.css", "CSS", 0, 1396, 0, 0, 0, 0, 0, 162, 104, 1662
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.css", "CSS", 0, 2446, 0, 0, 0, 0, 0, 363, 123, 2932
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.js", "JavaScript", 0, 0, 0, 1371, 0, 0, 0, 627, 583, 2581
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
