Date : 2021-10-12 14:27:46
Directory : c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content
Total : 515 files,  139201 codes, 34305 comments, 31127 blanks, all 204633 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         43 |     52,154 |      4,195 |     10,745 |     67,094 |
| JSON       |          9 |     25,599 |         14 |          7 |     25,620 |
| PHP        |        260 |     25,573 |     21,036 |     10,228 |     56,837 |
| JavaScript |         47 |     25,213 |      7,723 |      7,337 |     40,273 |
| SCSS       |        147 |     10,515 |      1,337 |      2,753 |     14,605 |
| Markdown   |          8 |        141 |          0 |         56 |        197 |
| XML        |          1 |          6 |          0 |          1 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        515 |    139,201 |     34,305 |     31,127 |    204,633 |
| mu-plugins                                                                                                                                           |          3 |         73 |          2 |         16 |         91 |
| mu-plugins\.VSCodeCounter                                                                                                                            |          2 |         24 |          0 |         13 |         37 |
| mu-plugins\.VSCodeCounter\2021-10-06_18-35-52                                                                                                        |          2 |         24 |          0 |         13 |         37 |
| plugins                                                                                                                                              |        165 |     46,876 |     25,163 |     15,621 |     87,660 |
| plugins\advanced-custom-fields                                                                                                                       |        164 |     46,875 |     25,162 |     15,620 |     87,657 |
| plugins\advanced-custom-fields\assets                                                                                                                |         32 |     29,543 |      7,747 |      7,365 |     44,655 |
| plugins\advanced-custom-fields\assets\build                                                                                                          |         14 |     13,510 |      6,015 |      3,807 |     23,332 |
| plugins\advanced-custom-fields\assets\build\css                                                                                                      |          8 |      4,449 |        665 |        281 |      5,395 |
| plugins\advanced-custom-fields\assets\build\js                                                                                                       |          6 |      9,061 |      5,350 |      3,526 |     17,937 |
| plugins\advanced-custom-fields\assets\images                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| plugins\advanced-custom-fields\assets\inc                                                                                                            |         17 |     16,027 |      1,732 |      3,557 |     21,316 |
| plugins\advanced-custom-fields\assets\inc\color-picker-alpha                                                                                         |          2 |        350 |        235 |         61 |        646 |
| plugins\advanced-custom-fields\assets\inc\datepicker                                                                                                 |          2 |        597 |         37 |         24 |        658 |
