"filename", "language", "CSS", "PHP", "JavaScript", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\archive-obra.php", "PHP", 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav.css", "CSS", 214, 0, 0, 0, 0, 3, 35, 252
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\prof.css", "CSS", 44, 0, 0, 0, 0, 1, 6, 51
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\prof.scss", "SCSS", 0, 0, 0, 0, 44, 0, 8, 52
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\style.css", "CSS", 431, 0, 0, 0, 0, 100, 101, 632
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\utilities.css", "CSS", 319, 0, 0, 0, 0, 9, 54, 382
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\followalong.md", "Markdown", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\footer.php", "PHP", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\front-page.php", "PHP", 0, 75, 0, 0, 0, 0, 12, 87
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions-dynamic.php", "PHP", 0, 19, 0, 0, 0, 2, 4, 25
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions.php", "PHP", 0, 37, 0, 0, 0, 0, 10, 47
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header.php", "PHP", 0, 54, 0, 0, 0, 0, 3, 57
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header_dynamic.php", "PHP", 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\index.php", "PHP", 0, 50, 0, 0, 0, 0, 2, 52
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\accordiion.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\counter.js", "JavaScript", 0, 0, 35, 0, 0, 2, 12, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\nav.js", "JavaScript", 0, 0, 46, 0, 0, 5, 12, 63
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\page.php", "PHP", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single-obra.php", "PHP", 0, 34, 0, 0, 0, 0, 2, 36
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single.php", "PHP", 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\style.css", "CSS", 1, 0, 0, 0, 0, 19, 2, 22
"Total", "-", 1009, 434, 96, 4, 44, 141, 282, 2010
